loss,mean_q_value,episode_rewards,steps
0.0,0.0,0.0,124
0.0,0.0,6.0,498
0.0,0.0,3.0,749
0.0,0.0,0.0,874
0.0,0.0,1.0,1045
0.0,0.0,0.0,1170
0.0,0.0,1.0,1323
0.0,0.0,0.0,1440
0.0,0.0,0.0,1565
0.0,0.0,2.0,1784
0.0,0.0,0.0,1909
0.0,0.0,5.0,2222
0.0,0.0,1.0,2375
0.0,0.0,0.0,2500
0.0,0.0,0.0,2625
0.0,0.0,0.0,2747
0.0,0.0,0.0,2872
0.0,0.0,1.0,3026
0.0,0.0,2.0,3225
0.0,0.0,1.0,3396
0.0,0.0,4.0,3672
0.0,0.0,0.0,3797
0.0,0.0,2.0,3997
0.0,0.0,2.0,4197
0.0,0.0,0.0,4322
0.0,0.0,2.0,4525
0.0,0.0,3.0,4757
0.0,0.0,3.0,4986
0.0,0.0,2.0,5207
0.0,0.0,1.0,5360
0.0,0.0,2.0,5562
0.0,0.0,3.0,5827
0.0,0.0,2.0,6047
0.0,0.0,2.0,6249
0.0,0.0,0.0,6374
0.0,0.0,1.0,6527
0.0,0.0,2.0,6729
0.0,0.0,0.0,6854
0.0,0.0,0.0,6973
0.0,0.0,4.0,7271
0.0,0.0,4.0,7548
0.0,0.0,2.0,7767
0.0,0.0,0.0,7892
0.0,0.0,3.0,8125
0.0,0.0,0.0,8242
0.0,0.0,2.0,8443
0.0,0.0,1.0,8592
0.0,0.0,1.0,8765
0.0,0.0,0.0,8890
0.0,0.0,2.0,9076
0.0,0.0,1.0,9247
0.0,0.0,0.0,9372
0.0,0.0,0.0,9497
0.0,0.0,1.0,9662
0.0,0.0,1.0,9833
0.0,0.0,0.0,9958
0.0,0.0,2.0,10157
0.0,0.0,2.0,10356
0.0,0.0,2.0,10538
0.0,0.0,5.0,10870
0.0,0.0,0.0,10995
0.0,0.0,1.0,11169
0.0,0.0,1.0,11316
0.0,0.0,1.0,11487
0.0,0.0,0.0,11612
0.0,0.0,0.0,11737
0.0,0.0,2.0,11939
0.0,0.0,2.0,12143
0.0,0.0,0.0,12262
0.0,0.0,0.0,12387
0.0,0.0,0.0,12512
0.0,0.0,1.0,12686
0.0,0.0,0.0,12811
0.0,0.0,0.0,12936
0.0,0.0,1.0,13092
0.0,0.0,1.0,13263
0.0,0.0,2.0,13444
0.0,0.0,5.0,13753
0.0,0.0,0.0,13878
0.0,0.0,3.0,14130
0.0,0.0,2.0,14330
0.0,0.0,3.0,14557
0.0,0.0,2.0,14757
0.0,0.0,1.0,14910
0.0,0.0,0.0,15035
0.0,0.0,1.0,15188
0.0,0.0,0.0,15313
0.0,0.0,0.0,15438
0.0,0.0,4.0,15719
0.0,0.0,0.0,15844
0.0,0.0,1.0,15997
0.0,0.0,0.0,16114
0.0,0.0,2.0,16313
0.0,0.0,0.0,16438
0.0,0.0,2.0,16619
0.0,0.0,0.0,16744
0.0,0.0,0.0,16863
0.0,0.0,3.0,17112
0.0,0.0,0.0,17237
0.0,0.0,0.0,17362
0.0,0.0,0.0,17487
0.0,0.0,0.0,17612
0.0,0.0,0.0,17737
0.0,0.0,1.0,17910
0.0,0.0,1.0,18081
0.0,0.0,1.0,18234
0.0,0.0,1.0,18408
0.0,0.0,0.0,18533
0.0,0.0,2.0,18735
0.0,0.0,1.0,18907
0.0,0.0,2.0,19125
0.0,0.0,1.0,19291
0.0,0.0,0.0,19416
0.0,0.0,0.0,19541
0.0,0.0,0.0,19660
0.0,0.0,0.0,19785
0.0,0.0,1.0,19958
0.0,0.0,1.0,20111
0.0,0.0,0.0,20236
0.0,0.0,0.0,20361
0.0,0.0,0.0,20484
0.0,0.0,2.0,20682
0.0,0.0,1.0,20854
0.0,0.0,1.0,21002
0.0,0.0,1.0,21173
0.0,0.0,4.0,21469
0.0,0.0,1.0,21622
0.0,0.0,1.0,21794
0.0,0.0,2.0,21994
0.0,0.0,0.0,22119
0.0,0.0,2.0,22341
0.0,0.0,0.0,22459
0.0,0.0,4.0,22756
0.0,0.0,1.0,22909
0.0,0.0,0.0,23034
0.0,0.0,0.0,23159
0.0,0.0,1.0,23313
0.0,0.0,2.0,23527
0.0,0.0,1.0,23680
0.0,0.0,2.0,23900
0.0,0.0,0.0,24024
0.0,0.0,2.0,24226
0.0,0.0,2.0,24443
0.0,0.0,0.0,24568
0.0,0.0,1.0,24721
0.0,0.0,0.0,24846
0.0,0.0,1.0,25019
0.0,0.0,1.0,25193
0.0,0.0,0.0,25318
0.0,0.0,1.0,25489
0.0,0.0,0.0,25614
0.0,0.0,0.0,25739
0.0,0.0,0.0,25859
0.0,0.0,1.0,26013
0.0,0.0,3.0,26227
0.0,0.0,2.0,26447
0.0,0.0,1.0,26618
0.0,0.0,3.0,26862
0.0,0.0,1.0,27034
0.0,0.0,3.0,27301
0.0,0.0,0.0,27426
0.0,0.0,1.0,27597
0.0,0.0,0.0,27717
0.0,0.0,0.0,27842
0.0,0.0,2.0,28062
0.0,0.0,3.0,28284
0.0,0.0,0.0,28409
0.0,0.0,2.0,28614
0.0,0.0,0.0,28739
0.0,0.0,0.0,28864
0.0,0.0,2.0,29045
0.0,0.0,3.0,29312
0.0,0.0,4.0,29559
0.0,0.0,0.0,29684
0.0,0.0,2.0,29867
0.0,0.0,0.0,29992
0.0,0.0,1.0,30165
0.0,0.0,1.0,30318
0.0,0.0,0.0,30443
0.0,0.0,1.0,30597
0.0,0.0,2.0,30818
0.0,0.0,0.0,30943
0.0,0.0,2.0,31143
0.0,0.0,0.0,31268
0.0,0.0,4.0,31546
0.0,0.0,1.0,31699
0.0,0.0,1.0,31870
0.0,0.0,0.0,31995
0.0,0.0,2.0,32197
0.0,0.0,0.0,32315
0.0,0.0,1.0,32468
0.0,0.0,3.0,32718
0.0,0.0,0.0,32843
0.0,0.0,5.0,33159
0.0,0.0,3.0,33433
0.0,0.0,3.0,33665
0.0,0.0,4.0,33924
0.0,0.0,2.0,34124
0.0,0.0,0.0,34249
0.0,0.0,4.0,34543
0.0,0.0,1.0,34716
0.0,0.0,1.0,34869
0.0,0.0,0.0,34994
0.0,0.0,1.0,35166
0.0,0.0,1.0,35337
0.0,0.0,3.0,35602
0.0,0.0,3.0,35832
0.0,0.0,0.0,35957
0.0,0.0,1.0,36110
0.0,0.0,0.0,36235
0.0,0.0,3.0,36466
0.0,0.0,2.0,36667
0.0,0.0,1.0,36838
0.0,0.0,2.0,37041
0.0,0.0,0.0,37162
0.0,0.0,0.0,37287
0.0,0.0,1.0,37458
0.0,0.0,1.0,37611
0.0,0.0,1.0,37758
0.0,0.0,3.0,37991
0.0,0.0,1.0,38162
0.0,0.0,1.0,38302
0.0,0.0,0.0,38427
0.0,0.0,1.0,38580
0.0,0.0,1.0,38754
0.0,0.0,0.0,38879
0.0,0.0,1.0,39032
0.0,0.0,1.0,39203
0.0,0.0,0.0,39328
0.0,0.0,1.0,39499
0.0,0.0,1.0,39670
0.0,0.0,3.0,39899
0.0,0.0,0.0,40024
0.0,0.0,2.0,40242
0.0,0.0,2.0,40459
0.0,0.0,1.0,40612
0.0,0.0,2.0,40811
0.0,0.0,2.0,40993
0.0,0.0,2.0,41192
0.0,0.0,0.0,41317
0.0,0.0,2.0,41519
0.0,0.0,1.0,41672
0.0,0.0,0.0,41797
0.0,0.0,3.0,42050
0.0,0.0,0.0,42175
0.0,0.0,0.0,42300
0.0,0.0,4.0,42579
0.0,0.0,0.0,42705
0.0,0.0,0.0,42830
0.0,0.0,0.0,42955
0.0,0.0,1.0,43109
0.0,0.0,1.0,43281
0.0,0.0,0.0,43406
0.0,0.0,2.0,43605
0.0,0.0,3.0,43877
0.0,0.0,0.0,44002
0.0,0.0,0.0,44124
0.0,0.0,0.0,44249
0.0,0.0,1.0,44402
0.0,0.0,0.0,44527
0.0,0.0,3.0,44755
0.0,0.0,1.0,44923
0.0,0.0,2.0,45105
0.0,0.0,0.0,45230
0.0,0.0,2.0,45453
0.0,0.0,1.0,45608
0.0,0.0,2.0,45808
0.0,0.0,1.0,45961
0.0,0.0,0.0,46086
0.0,0.0,1.0,46239
0.0,0.0,0.0,46364
0.0,0.0,1.0,46519
0.0,0.0,1.0,46690
0.0,0.0,1.0,46861
0.0,0.0,0.0,46986
0.0,0.0,0.0,47111
0.0,0.0,1.0,47261
0.0,0.0,2.0,47460
0.0,0.0,0.0,47585
0.0,0.0,1.0,47759
0.0,0.0,2.0,47940
0.0,0.0,1.0,48111
0.0,0.0,0.0,48236
0.0,0.0,4.0,48519
0.0,0.0,0.0,48644
0.0,0.0,0.0,48769
0.0,0.0,0.0,48894
0.0,0.0,0.0,49019
0.0,0.0,1.0,49172
0.0,0.0,1.0,49344
0.0,0.0,2.0,49564
0.0,0.0,0.0,49685
0.0,0.0,2.0,49907
0.0,0.0,0.0,50032
0.0,0.0,1.0,50203
0.0,0.0,0.0,50328
0.0,0.0,1.0,50499
