loss,mean_q_value,episode_rewards,steps
0.0,-1.0283899083287416,1.0,171
0.0,-1.0252702936265596,1.0,345
0.0,-1.064217520575238,0.0,467
0.0,-1.2331957092734196,3.0,695
0.0,-1.0213748028547298,1.0,864
0.0,-1.3388906685167579,2.0,1080
0.0,-1.3863080367731409,3.0,1346
0.0,-0.9800613321145708,3.0,1590
0.0,-1.3690056189806503,1.0,1764
0.0,-0.9932344751146466,4.0,2062
0.0,-1.0748142157853753,2.0,2283
0.0,-1.011897876765579,1.0,2448
0.0,-1.3096873123198747,0.0,2573
0.0,-1.14454546413673,4.0,2891
0.0,-1.237284214527179,2.0,3091
0.0,-1.1793022926997494,1.0,3244
0.0,-1.133621653453225,1.0,3417
0.0,-1.2707669657356335,4.0,3687
0.0,-1.2046126347629964,0.0,3811
0.0,-1.1254991169696973,3.0,4059
0.0,-1.196800307043501,1.0,4212
0.0,-1.1324376280646067,1.0,4365
0.0,-1.0389243885253867,0.0,4490
0.0,-0.7851640035708746,0.0,4615
0.0,-1.4369630716741084,0.0,4740
0.0,-0.9972725932414715,2.0,4940
0.0,-1.299261201860567,3.0,5178
0.0,-1.0233734553126064,1.0,5331
0.0,-0.8580336281693125,1.0,5502
0.0,-1.1061384535136343,0.0,5626
0.0,-1.0930126791383012,3.0,5874
0.0,-1.719545811166366,0.0,5999
0.0,-1.1902326303093056,2.0,6194
0.0,-1.254435649025254,2.0,6391
0.0,-0.8911712195943383,4.0,6685
0.0,-1.1738045339483814,1.0,6856
0.0,-1.129598883097757,1.0,7028
0.0,-0.9178108315914869,0.0,7153
0.0,-1.1744966384242563,6.0,7515
0.0,-1.3955215030668566,1.0,7669
0.0,-0.652513270374058,1.0,7821
0.0,-1.1850064570499845,0.0,7947
0.0,-0.8418491452932357,2.0,8167
0.0,-1.2655600689070994,3.0,8411
0.0,-1.4469974677441484,2.0,8593
0.0,-1.0743445292529132,3.0,8814
0.0,-1.126011645879733,6.0,9201
0.0,-1.1093863712813326,1.0,9373
0.0,-1.178836666262199,3.0,9621
0.0,-1.1490896653310925,3.0,9881
0.0,-0.9050535308818023,0.0,10006
0.0,-1.337563922651202,1.0,10177
0.0,-0.9219922572374344,2.0,10398
0.0,-1.3905705876697767,1.0,10554
0.0,-1.0605997151320743,2.0,10753
0.0,-0.958710121372378,1.0,10924
0.0,-0.8989431245906933,1.0,11077
0.0,-1.0697862817595403,0.0,11202
0.0,-0.8992170296726426,2.0,11398
0.0,-1.3613270709911982,0.0,11523
0.0,-1.1712290532886982,0.0,11648
0.0,-0.9498870324074145,1.0,11819
0.0,-0.9473858336430221,1.0,11992
0.0,-0.9315146974411356,1.0,12163
0.0,-0.8382418193878272,2.0,12363
0.0,-1.3134212051377152,3.0,12632
0.0,-0.8009260418110116,2.0,12852
0.0,-1.1730941727375372,2.0,13052
0.0,-1.4649091915537913,0.0,13177
0.0,-1.3353846330673267,2.0,13377
0.0,-0.9080716680648715,2.0,13597
0.0,-0.6534813595552967,1.0,13748
0.0,-1.1442449573865707,4.0,14025
0.0,-0.6261757053434849,0.0,14150
0.0,-1.081240987736885,1.0,14301
0.0,-0.852787958008462,0.0,14422
0.0,-1.1917834908894773,2.0,14639
0.0,-0.9270776226770047,2.0,14859
0.0,-1.330160412033634,1.0,15033
0.0,-1.2909877023783074,1.0,15204
0.0,-1.2727053448356487,1.0,15357
0.0,-1.1604985347160925,2.0,15557
0.0,-0.7705365634347136,1.0,15710
0.0,-1.3643856236090264,0.0,15835
0.0,-1.0962560599431013,2.0,16035
0.0,-1.5954485343886422,1.0,16183
0.0,-1.1272218841834958,1.0,16354
0.0,-1.382275631306348,0.0,16467
0.0,-1.1536568756120793,5.0,16817
0.0,-1.0850905967255433,0.0,16942
0.0,-0.810433596096657,1.0,17109
0.0,-1.204126602259733,0.0,17232
0.0,-0.9356630201260727,1.0,17403
0.0,-0.8795068337286941,3.0,17651
0.0,-1.0200199818763978,2.0,17851
0.0,-1.031860362117489,0.0,17976
0.0,-1.0598464488803623,1.0,18147
0.0,-0.729099984533391,3.0,18399
0.0,-1.23647562938498,4.0,18667
0.0,-1.1517923321574925,0.0,18792
0.0,-0.8463795392409615,0.0,18912
0.0,-0.9328224211931229,0.0,19037
0.0,-0.9854482481877009,0.0,19162
0.0,-1.0516290409737323,1.0,19333
0.0,-1.0454667986681063,0.0,19458
0.0,-1.034275081085961,3.0,19704
0.0,-1.2392796871274017,2.0,19924
0.0,-0.8224073149263859,0.0,20049
0.0,-0.897018028896744,0.0,20172
0.0,-1.1116253195113914,2.0,20392
0.0,-0.8735136275108044,2.0,20592
0.0,-1.175148074201603,2.0,20796
0.0,-0.9922647682520059,2.0,20996
0.0,-1.26218665486727,2.0,21196
0.0,-0.9619372748827513,3.0,21427
0.0,-0.7692997885639208,0.0,21546
0.0,-1.0501117574403416,1.0,21699
0.0,-1.4694174452995261,0.0,21824
0.0,-1.465995467454195,0.0,21949
0.0,-1.1284294185343753,2.0,22132
0.0,-0.9840133580807093,1.0,22285
0.0,-1.050520302541554,3.0,22530
0.0,-1.3317928508404762,4.0,22845
0.0,-1.1171197984886612,5.0,23173
0.0,-0.8950548628966014,2.0,23373
0.0,-0.871278204023838,0.0,23498
0.0,-1.057572361312269,2.0,23697
0.0,-1.0253347384432951,0.0,23822
0.0,-1.021318618073521,1.0,23993
0.0,-1.2201972020425134,2.0,24192
0.0,-1.1760870623091857,0.0,24317
0.0,-1.0950412965737857,2.0,24517
0.0,-0.9060994755476713,0.0,24642
0.0,-1.0628673620522022,2.0,24863
0.0,-1.1174190730620652,2.0,25063
0.0,-1.1593399175753196,0.0,25188
0.0,-1.0687810986169748,3.0,25417
0.0,-1.1662176363951677,1.0,25565
0.0,-1.2727934469779332,0.0,25690
0.0,-1.1399200882847982,3.0,25957
0.0,-1.0542544944060814,1.0,26110
0.0,-0.9060618955641985,0.0,26235
0.0,-0.8688175359119972,0.0,26360
0.0,-0.9469926658883152,1.0,26531
0.0,-1.2347577365625435,4.0,26850
0.0,-0.7534545271837411,0.0,26974
0.0,-1.3933106537805784,0.0,27088
0.0,-1.0283764468040317,2.0,27285
0.0,-1.0333162628742585,1.0,27456
0.0,-1.4103048733834709,0.0,27573
0.0,-1.6484574726908594,1.0,27726
0.0,-1.1053048602673186,0.0,27850
0.0,-1.0579375458811118,3.0,28094
0.0,-0.7019128417842603,2.0,28288
0.0,-1.200818307951194,4.0,28587
0.0,-0.9430028416216374,0.0,28712
0.0,-1.1918170873582716,1.0,28886
0.0,-0.9281733060545392,3.0,29116
0.0,-1.2054826413472015,1.0,29287
0.0,-1.074269828899055,2.0,29501
0.0,-1.2556810524219122,2.0,29701
0.0,-1.2423941436741086,4.0,29976
0.0,-0.9505859084782147,1.0,30149
0.0,-1.1407253240606912,3.0,30397
0.0,-1.1758054917057355,0.0,30522
0.0,-0.9423764099933437,2.0,30721
0.0,-0.9422707768778006,1.0,30894
0.0,-1.0766408992819039,1.0,31065
0.0,-1.2746667869389057,0.0,31190
0.0,-1.3768379640686943,1.0,31361
0.0,-1.2816979137750772,2.0,31561
0.0,-1.1725543186520084,1.0,31731
0.0,-1.335590152839436,3.0,31995
0.0,-1.0479573664446193,1.0,32166
0.0,-1.3693265321354071,0.0,32291
0.0,-1.270112850025015,3.0,32561
0.0,-0.8926669156977108,4.0,32860
0.0,-0.9663336499429801,4.0,33137
0.0,-1.069771065585939,3.0,33369
0.0,-0.9298263952811006,4.0,33661
0.0,-1.2510953447562736,1.0,33815
0.0,-0.8966504460178226,1.0,33986
0.0,-1.4018182519823312,0.0,34111
0.0,-0.9769309394307866,3.0,34358
0.0,-0.995444570061488,2.0,34558
0.0,-0.9087593845366814,2.0,34756
0.0,-1.592685458312432,0.0,34881
0.0,-0.8660200991641696,2.0,35100
0.0,-1.2421541677249803,3.0,35330
0.0,-1.4108201508989204,1.0,35483
0.0,-0.9558665516241541,2.0,35700
0.0,-0.6044451299829771,1.0,35854
0.0,-1.1717420661807956,3.0,36125
0.0,-1.3272239664401957,2.0,36319
0.0,-0.9973819634291978,0.0,36437
0.0,-0.90702723188278,2.0,36637
0.0,-0.7599187425027291,0.0,36762
0.0,-1.200898789819455,1.0,36916
0.0,-1.0839946435417158,3.0,37157
0.0,-1.1479563484771536,2.0,37380
0.0,-1.0551922384616548,0.0,37498
0.0,-1.3003982413060886,2.0,37697
0.0,-1.216637386566531,4.0,37976
0.0,-0.9436482667648298,2.0,38198
0.0,-1.2854867607355118,2.0,38398
0.0,-1.104022858923326,3.0,38626
0.0,-1.342903278601009,3.0,38854
0.0,-0.5406665916244189,0.0,38979
0.0,-1.04598943861418,2.0,39199
0.0,-1.1538438719368267,1.0,39371
0.0,-1.1836748007398386,3.0,39636
0.0,-1.291073862687651,1.0,39807
0.0,-1.2803078599914706,3.0,40033
0.0,-0.7979268953790815,0.0,40165
0.0,-1.0339863587766005,1.0,40339
0.0,-1.4646637190810659,2.0,40520
0.0,-0.9606007716683455,2.0,40740
0.0,-1.2737219624221325,0.0,40865
0.0,-1.2402935525227021,3.0,41093
0.0,-1.267561134101974,1.0,41246
0.0,-1.1318024087269776,3.0,41495
0.0,-0.33332362367461127,0.0,41620
0.0,-1.0518865505302395,3.0,41868
0.0,-1.462506416384305,2.0,42087
0.0,-1.0980315609524647,0.0,42212
0.0,-1.0881406500023239,3.0,42462
0.0,-1.20023452071473,1.0,42627
0.0,-1.1389550921462832,2.0,42842
0.0,-1.4554210184029786,1.0,43013
0.0,-1.178789565463861,0.0,43138
0.0,-0.9603453449994684,1.0,43309
0.0,-1.228856655334433,0.0,43434
0.0,-1.2037862939732615,8.0,43778
0.0,-0.8975079263250033,0.0,43903
0.0,-1.0405410111512778,3.0,44173
0.0,-1.1871425618078106,2.0,44392
0.0,-1.2019548201148051,1.0,44563
0.0,-1.1751059946914515,0.0,44688
0.0,-0.8774409001288207,0.0,44808
0.0,-0.7646534694610415,1.0,44961
0.0,-0.9175609518484823,0.0,45082
0.0,-0.7442355105032523,0.0,45207
0.0,-1.105473312376826,2.0,45428
0.0,-1.321793243779567,3.0,45676
0.0,-1.0104290912247667,2.0,45879
0.0,-1.4961634748479695,2.0,46090
0.0,-1.0397446038822333,0.0,46215
0.0,-1.1893635343007853,2.0,46423
0.0,-0.8441515615001259,3.0,46669
0.0,-1.0826747722923755,0.0,46794
0.0,-1.1218332638000619,0.0,46915
0.0,-1.4212384472290676,0.0,47040
0.0,-1.1555890795516681,1.0,47211
0.0,-1.1153004860153068,1.0,47364
0.0,-1.2292133363831135,3.0,47631
0.0,-1.5116179206427311,1.0,47785
0.0,-0.5734811068789379,1.0,47938
0.0,-1.1468978716681402,0.0,48063
0.0,-1.090087326616049,0.0,48188
0.0,-1.4057792123123134,3.0,48416
0.0,-1.2379873185184416,2.0,48600
0.0,-1.234321653842926,1.0,48771
0.0,-1.3008099248011906,0.0,48896
0.0,-1.1972664838256282,4.0,49194
0.0,-1.1986697520898737,0.0,49314
0.0,-1.2046404342199195,0.0,49435
0.0,-1.1924786357543407,2.0,49635
0.0,-0.8553271413926619,1.0,49806
0.0,-1.191125251936473,2.0,50028
0.0,-1.011900785726955,1.0,50199
0.0,-0.9188326174622454,5.0,50521
0.0,-0.9747760300276548,1.0,50695
0.0,-0.9536986130229924,2.0,50918
0.0,-1.1067680473937545,2.0,51138
0.0,-0.9862563950774815,2.0,51356
0.0,-1.300640423844258,0.0,51481
0.0,-1.1870581201144628,2.0,51696
0.0,-1.1202636078201436,1.0,51849
0.0,-1.2310458908601063,3.0,52097
0.0,-1.4321909488455669,1.0,52250
0.0,-0.8206952572076681,4.0,52506
0.0,-1.1069474113135298,0.0,52632
0.0,-1.5299443336633536,2.0,52832
0.0,-0.7816812724639208,2.0,53032
0.0,-0.5986348977785999,0.0,53155
0.0,-0.8347378029684315,3.0,53383
0.0,-1.3204739357571345,1.0,53536
0.0,-1.0972500628385788,2.0,53736
0.0,-1.233289014886726,2.0,53917
0.0,-1.335783793280522,0.0,54042
0.0,-0.9210960525890877,0.0,54163
0.0,-0.7565081808811579,2.0,54363
0.0,-1.0424189348251391,2.0,54563
0.0,-1.1382641759796888,3.0,54811
0.0,-1.1088866692522297,5.0,55161
0.0,-0.8162897149721782,0.0,55286
0.0,-0.9084907215938234,2.0,55462
0.0,-1.1539794575557651,1.0,55633
0.0,-0.9665742071267374,1.0,55805
0.0,-0.8448565471537259,3.0,56055
0.0,-1.159581249619418,2.0,56248
0.0,-1.319425176580747,0.0,56373
0.0,-0.880875596929999,1.0,56548
0.0,-0.977426289486499,3.0,56800
0.0,-0.8758026196823253,1.0,56948
0.0,-1.453762074559927,0.0,57073
0.0,-1.196631353449177,1.0,57226
0.0,-1.0927159934549289,2.0,57448
0.0,-1.4679292794820424,1.0,57601
0.0,-1.0567129153539152,4.0,57878
0.0,-0.9472890044349471,1.0,58036
0.0,-1.2393028964309414,3.0,58264
0.0,-1.2265613515648925,0.0,58383
0.0,-1.3397343142840423,2.0,58578
0.0,-1.196214546683507,2.0,58778
0.0,-1.1138722391677476,4.0,59074
0.0,-1.3073422421821568,2.0,59288
0.0,-0.7813852064042206,1.0,59459
0.0,-0.9737067777064762,3.0,59688
0.0,-1.2727290861881697,2.0,59888
0.0,-1.0428393972072287,4.0,60167
0.0,-0.9838140361870711,0.0,60276
0.0,-1.443643503788724,1.0,60447
0.0,-1.2404517557423187,3.0,60681
0.0,-1.1990066924751206,1.0,60835
0.0,-1.2530772164858208,2.0,61029
0.0,-0.6533351124574741,0.0,61154
0.0,-1.1408153653862965,1.0,61325
0.0,-1.0082868708948778,3.0,61576
0.0,-1.0211872388868768,2.0,61778
0.0,-0.9407566921545727,2.0,61985
0.0,-1.1652610199017959,6.0,62320
0.0,-1.026443651263615,2.0,62542
0.0,-1.0160931474655062,1.0,62695
0.0,-1.0002557124123979,3.0,62923
0.0,-1.0208703546244422,3.0,63171
0.0,-1.4401243746837722,2.0,63390
0.0,-0.6754051089286804,0.0,63515
0.0,-0.9633933981521088,0.0,63634
0.0,-0.9199701779079242,3.0,63883
0.0,-1.5104512013943798,1.0,64054
0.0,-1.090477331632223,2.0,64254
0.0,-1.325726700746096,2.0,64454
0.0,-1.5021338971952598,0.0,64579
0.0,-1.1244030987738438,2.0,64796
0.0,-1.028260252997279,0.0,64921
0.0,-1.2319463315990664,4.0,65174
0.0,-1.0251962351302306,0.0,65299
0.0,-0.9651772688973594,1.0,65452
0.0,-0.9030703973268794,2.0,65671
