loss,mean_q_value,episode_rewards,steps
0.0,0.0,231.0,627
0.0,0.0,252.0,1139
0.0,0.0,273.0,1610
0.0,0.0,294.0,2209
0.0,0.0,315.0,2996
0.0,0.0,189.0,3615
0.0,0.0,147.0,3953
0.0,0.0,294.0,4477
0.0,0.0,294.0,5073
0.0,0.0,189.0,5680
0.0,0.0,336.0,6294
0.0,0.0,189.0,6768
0.0,0.0,273.0,7450
0.0,0.0,231.0,8199
0.0,0.0,315.0,8949
0.0,0.0,231.0,9598
0.0,0.0,252.0,10104
0.0,0.0,273.0,10640
0.0,0.0,189.0,11099
0.0,0.0,189.0,11604
0.0,0.0,231.0,12288
0.0,0.0,126.0,12658
0.0,0.0,294.0,13216
0.0,0.0,168.0,13669
0.0,0.0,315.0,14388
0.0,0.0,189.0,14909
0.0,0.0,189.0,15540
0.0,0.0,273.0,16193
0.0,0.0,126.0,16537
0.0,0.0,231.0,17190
0.0,0.0,168.0,17685
0.0,0.0,168.0,18278
0.0,0.0,294.0,18829
0.0,0.0,378.0,19533
0.0,0.0,168.0,19899
0.0,0.0,231.0,20416
0.0,0.0,210.0,21040
0.0,0.0,357.0,21793
0.0,0.0,231.0,22320
0.0,0.0,273.0,22971
0.0,0.0,231.0,23562
0.0,0.0,273.0,24065
0.0,0.0,210.0,24731
0.0,0.0,189.0,25197
0.0,0.0,105.0,25562
0.0,0.0,231.0,26129
0.0,0.0,126.0,26400
0.0,0.0,252.0,26948
0.0,0.0,189.0,27616
0.0,0.0,189.0,28213
0.0,0.0,252.0,28855
0.0,0.0,189.0,29264
0.0,0.0,210.0,29890
0.0,0.0,189.0,30371
0.0,0.0,126.0,30655
0.0,0.0,168.0,31129
0.0,0.0,252.0,31689
0.0,0.0,294.0,32307
0.0,0.0,399.0,33032
0.0,0.0,147.0,33511
0.0,0.0,273.0,34035
0.0,0.0,378.0,34700
0.0,0.0,126.0,35222
0.0,0.0,210.0,35587
0.0,0.0,147.0,35950
0.0,0.0,210.0,36559
0.0,0.0,189.0,37052
