loss,mean_q_value,episode_rewards,steps
0.0,0.0,0.0,0
0.0,0.0,0.0,136
0.0,0.0,0.0,267
0.0,0.0,1.0,436
0.0,0.002317902075468436,1.0,605
0.0,0.0,1.0,772
0.0,-0.0006711220798584131,1.0,980
0.0,0.004829911643235141,1.0,1169
0.0,0.004061867263209954,1.0,1347
0.0,0.001026578124397057,3.0,1589
0.0,-0.0038316253874752975,0.0,1737
0.0,-0.004645564726420811,1.0,1912
0.0,0.0038898956419816657,0.0,2046
0.0,-0.0031676384118887093,2.0,2254
0.0,-0.00194958665154197,0.0,2397
0.0,-0.0013621578644672783,4.0,2720
0.0,0.004975300846677838,0.0,2852
0.0,0.005286320686340332,0.0,2977
0.0,0.0,0.0,3117
0.0,0.0,0.0,3259
0.0,-0.004049921316416274,2.0,3482
0.0,-0.0013604362805684407,0.0,3638
0.0,-0.005133007241017891,1.0,3803
0.0,0.005336787838202257,1.0,3959
0.0,0.004231537096813077,2.0,4203
0.0,-0.0019098059859818327,1.0,4370
0.0,0.000676540297976995,4.0,4665
0.0,-0.0009329996062713919,2.0,4871
0.0,0.0012632996059846187,2.0,5078
0.0,0.00045328758381031175,3.0,5348
0.0,0.0062814551301535355,5.0,5697
0.0,0.0038883267686917232,1.0,5879
0.0,-0.008648863692921916,0.0,6006
0.0,-0.0035035253548231283,1.0,6189
0.0,-0.00345277927211813,0.0,6337
0.0,0.005746416987911347,1.0,6523
0.0,-0.0013383524159767798,2.0,6747
0.0,0.006528583305884587,3.0,7030
0.0,-0.001731376108877799,0.0,7166
0.0,-0.016593302455213337,1.0,7346
0.0,-0.0036364042599286352,0.0,7486
0.0,-0.01106668668596641,1.0,7670
0.0,-0.0005467505187027214,0.0,7799
0.0,-0.009178105539591738,3.0,8057
0.0,-0.011087316417798204,2.0,8286
0.0,-0.005651183282546555,3.0,8545
0.0,0.0006987600345311202,0.0,8672
0.0,0.0038304082710634577,2.0,8892
0.0,-0.0001882648673550836,1.0,9066
0.0,0.011008435601575507,0.0,9210
0.0,-0.01179418016921033,1.0,9392
0.0,0.004053990344632849,2.0,9625
0.0,0.01199917056981255,0.0,9761
0.0,-0.008390294345280597,0.0,9892
0.0,-0.008459844562257159,2.0,10124
0.0,0.011089621835453495,1.0,10281
0.0,-0.002043456340638491,2.0,10489
0.0,-0.0012511022145981375,2.0,10719
0.0,-0.003480282425880432,3.0,10999
0.0,-0.0101324359504439,0.0,11138
0.0,-0.0036940088188185277,2.0,11344
0.0,0.009075178833384262,1.0,11534
0.0,-0.017799858993666182,2.0,11741
0.0,0.012124726202469974,1.0,11940
0.0,-0.001244499012613159,5.0,12287
0.0,0.0028461387538048157,1.0,12453
0.0,0.0018028806362833296,0.0,12593
0.0,-0.010450097875003396,3.0,12867
0.0,-0.01417788097322895,2.0,13064
0.0,-0.010714463740587234,0.0,13214
0.0,-0.016572936362511403,0.0,13362
0.0,-0.01189990390805488,2.0,13597
0.0,-0.0007381804050907256,3.0,13849
0.0,-0.01705914706731519,4.0,14131
0.0,-0.007233952086396013,1.0,14294
0.0,-0.013210648261919254,2.0,14499
0.0,-0.0014189327982338993,2.0,14719
0.0,0.01569386896761981,2.0,14939
0.0,0.007192083741679336,1.0,15104
0.0,-0.0061801833237384585,4.0,15390
0.0,-0.017872531177862635,2.0,15602
0.0,0.005416151654871204,1.0,15760
0.0,-0.003739313913161675,2.0,15969
0.0,0.018035816507098453,1.0,16152
0.0,0.010738708530411575,0.0,16284
0.0,-0.013836272040949785,1.0,16471
0.0,-0.014796783747496428,0.0,16606
0.0,-0.03270111905676978,1.0,16781
0.0,-0.004155644479879113,3.0,16996
0.0,-0.006333835076454074,2.0,17211
0.0,-0.03213813828699517,1.0,17376
0.0,-0.016335689411388608,0.0,17503
0.0,0.009999906735403555,3.0,17789
0.0,-0.020898220666817256,1.0,17964
0.0,-0.015081147248504543,3.0,18202
0.0,-0.0036266649191358446,2.0,18428
0.0,-0.001350873002880498,1.0,18618
0.0,-0.023710607778872544,2.0,18851
0.0,-0.022195054104973598,1.0,19032
0.0,-0.02214115633377953,0.0,19158
0.0,0.00012472795916127635,1.0,19340
0.0,-0.021836595158233787,3.0,19604
0.0,0.00827156642646146,1.0,19767
0.0,-0.013419400698454806,0.0,19896
0.0,-0.021395357398243695,2.0,20127
0.0,-0.004063216637979987,0.0,20290
0.0,0.009419909894466401,0.0,20415
0.0,-0.019552766362252217,3.0,20692
0.0,-0.007957112301604539,2.0,20909
0.0,-0.002162087566214181,1.0,21092
0.0,-0.008052786489678778,3.0,21375
0.0,0.011719448777733656,1.0,21564
0.0,0.017564018536359072,1.0,21724
0.0,-0.008410862373734663,1.0,21891
0.0,-0.009400584745062817,3.0,22168
0.0,0.005348864263592504,1.0,22349
0.0,-0.020275124948885705,1.0,22529
0.0,0.018428494453430175,0.0,22654
0.0,-0.048639808773994445,0.0,22779
0.0,-0.0005290754253172692,3.0,23041
0.0,0.008481514111999825,2.0,23272
0.0,-0.002128158284762463,4.0,23580
0.0,-0.01476788610444033,0.0,23713
0.0,0.0018215319088527135,1.0,23888
0.0,-0.015339243639674451,0.0,24032
0.0,-0.01458963192999363,0.0,24168
0.0,-0.006173041692682516,2.0,24382
0.0,-0.012698110342025757,0.0,24507
0.0,-0.006014655645498458,3.0,24779
0.0,-0.009533960108805185,1.0,24977
0.0,0.0003705741078765304,0.0,25112
0.0,0.025401610591097506,1.0,25279
0.0,-0.006528377532958984,3.0,25528
0.0,-0.009125326214165523,6.0,25963
0.0,-0.02560100218074189,0.0,26107
0.0,-0.0106000149772115,0.0,26244
0.0,-0.027711780602429188,0.0,26391
0.0,-0.028870282235784805,0.0,26529
0.0,-0.022515063704569127,1.0,26687
0.0,-0.018052340306817218,2.0,26922
0.0,-0.015907833276658644,2.0,27118
0.0,-0.002466102283614785,0.0,27252
0.0,-0.013205133622787038,1.0,27435
0.0,0.02922895271331072,0.0,27595
0.0,0.015301386146979817,4.0,27890
0.0,-0.005514832918948316,3.0,28125
0.0,-0.03343835719700517,4.0,28415
0.0,0.00440431693825153,2.0,28633
0.0,-0.0352258617148816,2.0,28839
0.0,-0.01814786502479637,0.0,28976
0.0,0.014663434460189173,1.0,29159
0.0,-0.01726995424320132,1.0,29336
0.0,0.005270601028487796,3.0,29567
0.0,-0.004817584376843249,3.0,29811
0.0,-0.014189775180609073,2.0,30012
0.0,-0.03184770417413605,0.0,30146
0.0,-0.01666536585048393,0.0,30281
0.0,-0.015671104550934754,2.0,30489
0.0,0.0037804199703808487,3.0,30721
0.0,-0.018099359511541374,2.0,30948
0.0,-0.013170213408910544,0.0,31105
0.0,-0.01366758305329108,3.0,31358
0.0,0.01901778019964695,0.0,31494
