total_steps,total_reward,epsilon,total_q_values,total_loss
206,2.0,1.0,0.0,0.0
385,1.0,0.98146,0.0,0.0
720,4.0,0.96535,0.0,0.0
900,1.0,0.9352,0.0,0.0
1129,2.0,0.919,0.0,0.0
1387,3.0,0.89839,0.0,0.0
1568,1.0,0.87517,0.0,0.0
1699,0.0,0.85888,0.0,0.0
1925,2.0,0.84709,0.0,0.0
2081,1.0,0.82675,0.0,0.0
2391,4.0,0.81271,0.0,0.0
2661,3.0,0.78481,0.0,0.0
2928,3.0,0.76051,0.0,0.0
3064,0.0,0.73648,0.0,0.0
3404,5.0,0.72424,0.0,0.0
3557,0.0,0.69364,0.0,0.0
3710,0.0,0.67987,0.0,0.0
3880,0.0,0.6661,0.0,0.0
4158,3.0,0.6508,0.0,0.0
4511,5.0,0.62578,0.0,0.0
4841,4.0,0.5940099999999999,0.0,0.0
4979,0.0,0.5643099999999999,0.0,0.0
5244,3.0,0.55189,0.0,0.0
5463,2.0,0.52804,0.0,0.0
5693,2.0,0.50833,0.0,0.0
5846,0.0,0.48763,0.0,0.0
6203,4.0,0.47385999999999995,0.0,0.0
6362,0.0,0.44173000000000007,0.0,0.0
6508,0.0,0.42742,0.0,0.0
6677,0.0,0.41428,0.0,0.0
7013,4.0,0.39907000000000004,0.0,0.0
7158,0.0,0.36883,0.0,0.0
7442,2.0,0.35578,0.0,0.0
7599,0.0,0.33021999999999996,0.0,0.0
7762,0.0,0.31609,0.0,0.0
7911,0.0,0.30142,0.0,0.0
8336,9.0,0.28801,0.0,0.0
8638,2.0,0.24975999999999998,0.0,0.0
9026,4.0,0.22258,0.0,0.0
9369,3.0,0.18765999999999994,0.0,0.0
9603,2.0,0.15678999999999998,0.0,0.0
9891,0.0,0.1357299999999999,0.0,0.0
10214,2.0,0.10981000000000007,0.0,0.0
10851,5.0,0.1,0.0,0.0
11164,0.0,0.1,0.0,0.0
11454,0.0,0.1,0.0,0.0
11794,0.0,0.1,0.0,0.0
12020,0.0,0.1,0.0,0.0
12671,9.0,0.1,0.0,0.0
13007,0.0,0.1,0.0,0.0
13255,0.0,0.1,0.0,0.0
13506,0.0,0.1,0.0,0.0
14093,5.0,0.1,0.0,0.0
14311,0.0,0.1,0.0,0.0
14789,4.0,0.1,0.0,0.0
15158,2.0,0.1,0.0,0.0
15466,2.0,0.1,0.0,0.0
15852,4.0,0.1,0.0,0.0
16032,0.0,0.1,0.0,0.0
16287,0.0,0.1,0.0,0.0
16613,3.0,0.1,0.0,0.0
16842,0.0,0.1,0.0,0.0
17042,0.0,0.1,0.0,0.0
17589,9.0,0.1,0.0,0.0
18034,5.0,0.1,0.0,0.0
18412,3.0,0.1,0.0,0.0
18876,0.0,0.1,0.0,0.0
19139,2.0,0.1,0.0,0.0
19406,0.0,0.1,0.0,0.0
19609,0.0,0.1,0.0,0.0
20152,9.0,0.1,0.0,0.0
20572,4.0,0.1,0.0,0.0
21343,9.0,0.1,0.0,0.0
