loss,mean_q_value,episode_rewards,steps
0.0,0.0,0.0,0
0.0,0.0,1.0,177
0.0,0.0,1.0,358
0.0,-7.0945937828771e-05,1.0,532
0.0,0.0,1.0,704
0.0,-6.390221607990753e-05,2.0,899
0.0,-7.218576772788237e-05,1.0,1071
0.0,-0.00010380477140672871,0.0,1193
0.0,-0.00013550865068602904,3.0,1471
0.0,-9.431670071514508e-05,0.0,1602
0.0,-0.00024272106109542142,3.0,1859
0.0,-0.00020164491668824228,1.0,2045
0.0,0.0,1.0,2214
0.0,-0.00017244931465635696,2.0,2430
0.0,-0.00016169077566554469,1.0,2585
0.0,-7.626930550660616e-05,1.0,2747
0.0,-0.00014416339282674351,1.0,2921
0.0,-5.719733678481796e-05,2.0,3141
0.0,-0.00014143240259174158,3.0,3404
0.0,-0.0004895657330052927,0.0,3532
0.0,-0.00017568735234069487,0.0,3673
0.0,-0.00020685666420841743,1.0,3854
0.0,-0.00019199113146616862,0.0,3984
0.0,-0.0004769886462864551,0.0,4116
0.0,-0.00023068328070022711,1.0,4280
0.0,-0.00031517928599808287,2.0,4517
0.0,-0.0002902858089829717,2.0,4731
0.0,-0.0004900816056760959,0.0,4859
0.0,-0.0002430491003335691,3.0,5114
0.0,-0.0005030676444200264,1.0,5288
0.0,-0.0004795466360824925,4.0,5574
0.0,-0.0002776731081582882,0.0,5709
0.0,-0.000739841506646205,1.0,5895
0.0,-0.00040482360148622146,1.0,6081
0.0,-0.0005266983586717659,2.0,6294
0.0,-0.0004973159520886838,1.0,6470
0.0,-0.00024800917332469237,3.0,6723
0.0,-0.0007693264176326295,1.0,6886
0.0,-0.0001978315016690721,1.0,7074
0.0,-0.00036434316499666736,3.0,7349
0.0,-0.00047272156760002834,1.0,7508
0.0,-0.00046017384846453314,1.0,7670
0.0,-0.00033021378256971876,1.0,7859
0.0,-0.00040083323023828543,2.0,8072
0.0,-0.0005597990245542713,1.0,8251
0.0,-0.0006103505902900928,2.0,8456
0.0,-0.0008305994845512841,1.0,8636
0.0,-0.00039418664565131923,1.0,8793
0.0,-0.000342039483003929,1.0,8976
0.0,-0.0007033211489518484,1.0,9153
0.0,-0.00043292393871020564,2.0,9355
0.0,-0.0005515748281267625,1.0,9513
0.0,-0.0006913524717715125,6.0,9872
0.0,-0.0004660576605093405,1.0,10033
0.0,-0.0007017135871111924,3.0,10315
0.0,-0.0008157724038745366,0.0,10452
0.0,-0.0006455588743261907,1.0,10626
0.0,-0.0006914093235387788,4.0,10968
0.0,-0.0009846844763126013,2.0,11180
0.0,-0.0009580128681328561,2.0,11405
0.0,-0.0006452197367899226,2.0,11616
0.0,-0.0008291320965946776,2.0,11842
0.0,-0.0013157569638946476,1.0,12012
0.0,-0.0008658386142099205,1.0,12170
0.0,-0.0012143935244052838,2.0,12365
0.0,-0.0010780535958474502,0.0,12493
0.0,-0.0007822731786291115,0.0,12621
0.0,-0.0005112670471563059,1.0,12791
0.0,-0.00131319382783483,2.0,13019
0.0,-0.0015236137591245521,0.0,13150
0.0,-0.001011253475691333,2.0,13348
0.0,-0.0008587398367827056,4.0,13653
0.0,-0.0013687109163442216,1.0,13807
0.0,-0.0010479641722813818,0.0,13938
0.0,-0.0014192902070300822,1.0,14114
0.0,-0.0008849157093782124,0.0,14241
0.0,-0.0012721351887674847,1.0,14398
0.0,-0.001477662268586046,0.0,14525
0.0,-0.0008608518125674196,0.0,14656
0.0,-0.00100001100044539,5.0,15032
0.0,-0.0010052287064853214,0.0,15156
0.0,-0.0011698757280029501,3.0,15411
0.0,-0.0007706372497173456,0.0,15541
0.0,-0.0009300312756196312,1.0,15702
0.0,-0.001061610173730349,1.0,15878
0.0,-0.0011706955265253782,2.0,16090
0.0,-0.0018864684727389453,1.0,16262
0.0,-0.0011962445938716764,2.0,16492
0.0,-0.001310387035102948,2.0,16722
0.0,-0.0012404062209352281,0.0,16853
0.0,-0.00157656368073516,0.0,16980
0.0,-0.0015034775032584829,0.0,17113
0.0,-0.0012856442864014677,0.0,17259
0.0,-0.001171780905375878,1.0,17439
0.0,-0.0015601268084719777,2.0,17639
0.0,-0.0011464384320469302,0.0,17770
0.0,-0.001233272022335558,5.0,18103
0.0,-0.0008502426430766965,1.0,18265
0.0,-0.0013815667010296923,2.0,18483
0.0,-0.0013918580646675668,1.0,18635
0.0,-0.00199176125904232,2.0,18861
0.0,-0.0015181224111740182,2.0,19066
0.0,-0.001860088791869495,1.0,19240
0.0,-0.0018744876972217669,1.0,19414
0.0,-0.0017045106102780599,2.0,19619
0.0,-0.0014333636233849186,2.0,19829
0.0,-0.0015212747973599875,1.0,20002
0.0,-0.001289158922565334,0.0,20138
0.0,-0.0012922090448675649,0.0,20264
0.0,-0.0015710968428346165,3.0,20536
0.0,-0.0016952176646016874,4.0,20825
0.0,-0.0028301919096686543,0.0,20962
0.0,-0.0014311590210627054,0.0,21093
0.0,-0.00129025145747501,2.0,21286
0.0,-0.0015182949348606846,0.0,21418
0.0,-0.0016511578005567896,5.0,21800
0.0,-0.001543550971238052,1.0,21970
0.0,-0.0017559783575871518,3.0,22232
0.0,-0.002312556546754562,0.0,22362
0.0,-0.0023845710185548615,0.0,22488
0.0,-0.0020440019899126373,3.0,22761
0.0,-0.0015632300564902835,0.0,22889
0.0,-0.0013891632969707552,2.0,23087
0.0,-0.0015430539176705179,1.0,23265
0.0,-0.0018204106017947197,2.0,23491
0.0,-0.0024142109614331275,1.0,23651
0.0,-0.0016675758196787259,4.0,23958
0.0,-0.001711333498841138,0.0,24097
0.0,-0.0021721841295020304,0.0,24235
0.0,-0.0012872306637712254,3.0,24477
0.0,-0.0023645313785356633,1.0,24630
0.0,-0.0016394998410724075,3.0,24881
0.0,-0.0020029727930728444,1.0,25037
0.0,-0.0023637690377989033,1.0,25211
0.0,-0.0016261040221286726,3.0,25448
0.0,-0.0012715779448626563,0.0,25576
0.0,-0.001501725915866562,1.0,25734
0.0,-0.0019152934776235455,6.0,26137
0.0,-0.0016464935471267664,0.0,26266
0.0,-0.002118226350780497,2.0,26501
0.0,-0.001835796867382598,4.0,26834
0.0,-0.0010172554671212478,0.0,26969
0.0,-0.0021778919558594193,4.0,27245
0.0,-0.002032689164292085,3.0,27458
0.0,-0.0019506625103531405,0.0,27586
0.0,-0.0014311661409427885,0.0,27708
0.0,-0.001494359822749202,2.0,27909
0.0,-0.0018751578111397592,0.0,28042
0.0,-0.0017478115212939242,0.0,28178
0.0,-0.0016489386984921363,1.0,28344
0.0,-0.0022800400302830067,0.0,28476
0.0,-0.001789195162109933,2.0,28705
0.0,-0.001960113049462074,2.0,28910
0.0,-0.002028165974168696,2.0,29144
0.0,-0.0014767701934857908,2.0,29347
0.0,-0.0017760247687128052,0.0,29481
0.0,-0.0022518069288411805,1.0,29653
0.0,-0.002593118600710168,1.0,29836
0.0,-0.0021173345713088147,0.0,29966
0.0,-0.002322575677249391,1.0,30143
0.0,-0.002826827457174659,2.0,30343
0.0,-0.0021941650404848838,1.0,30497
0.0,-0.002055489652748428,0.0,30631
0.0,-0.0022302651189096355,1.0,30805
0.0,-0.002160722004683842,0.0,30938
0.0,-0.002372725156212288,5.0,31267
0.0,-0.0025679572961877944,3.0,31525
0.0,-0.0029080822096430054,0.0,31654
0.0,-0.002815269417483215,0.0,31783
0.0,-0.0025143104174466277,0.0,31917
0.0,-0.0028057091012597085,0.0,32042
0.0,-0.002398570268523208,1.0,32214
0.0,-0.0024340969199935594,0.0,32337
0.0,-0.001966775997298891,2.0,32521
0.0,-0.0024677514223249877,0.0,32648
0.0,-0.0023535416850189524,0.0,32775
0.0,-0.002140931458847158,1.0,32932
0.0,-0.0020321691816207023,1.0,33092
0.0,-0.0024763394417312307,0.0,33223
0.0,-0.002884017180322724,2.0,33427
0.0,-0.002172136709334389,1.0,33582
0.0,-0.002302548141134056,3.0,33802
0.0,-0.002035940210852358,0.0,33937
0.0,-0.0031269545960303856,2.0,34156
0.0,-0.0021250964650376277,1.0,34332
0.0,-0.002525245221665656,3.0,34583
0.0,-0.002236183503291745,2.0,34790
0.0,-0.002639143659476319,3.0,35022
0.0,-0.0023873884264873045,2.0,35241
0.0,-0.0025554492533432713,0.0,35373
0.0,-0.0029458373571467247,1.0,35530
0.0,-0.002566532877193192,0.0,35657
0.0,-0.0026146180487677945,6.0,36021
0.0,-0.0029397036534229756,3.0,36274
0.0,-0.0022414003657858545,0.0,36397
0.0,-0.002281014726216358,0.0,36523
0.0,-0.0025321976686625376,3.0,36799
0.0,-0.002573275154092066,1.0,36983
0.0,-0.00291682412402213,1.0,37146
0.0,-0.002996618044562638,3.0,37394
0.0,-0.0028995899707078936,0.0,37519
0.0,-0.0029040584489703177,0.0,37644
0.0,-0.00325218751645229,0.0,37771
0.0,-0.002590477498883457,1.0,37944
0.0,-0.00281359754740242,3.0,38195
0.0,-0.003882728631958946,1.0,38349
0.0,-0.0026569437178657045,3.0,38578
0.0,-0.003080496912015908,0.0,38712
0.0,-0.002754298047170983,2.0,38934
0.0,-0.0034229369994136505,0.0,39062
0.0,-0.002857223920922243,0.0,39193
0.0,-0.0018385821202582166,0.0,39322
0.0,-0.0029275721235580707,2.0,39523
0.0,-0.0031489089936317513,2.0,39722
0.0,-0.0026573697325047545,0.0,39849
0.0,-0.0030750731525362516,0.0,39971
0.0,-0.0038213291721842665,2.0,40173
0.0,-0.0035180383528680055,3.0,40441
0.0,-0.002755660460828695,1.0,40613
0.0,-0.002807574375539787,0.0,40742
0.0,-0.0031258450835593976,0.0,40870
0.0,-0.00364407292380929,3.0,41120
0.0,-0.003348703953649914,1.0,41291
0.0,-0.003378801574965693,1.0,41450
0.0,-0.002691266982367745,0.0,41585
0.0,-0.0027672431841132723,2.0,41792
0.0,-0.004013698584096537,1.0,41973
0.0,-0.003672159392415553,0.0,42102
0.0,-0.003088340152526039,1.0,42276
0.0,-0.002624573147915609,1.0,42447
0.0,-0.003967312882270883,1.0,42617
0.0,-0.0025001953386010662,1.0,42772
0.0,-0.002725767444068794,3.0,43050
0.0,-0.0037572229938472018,3.0,43305
0.0,-0.0031703101074109312,0.0,43427
0.0,-0.003561186704344006,2.0,43613
0.0,-0.003073378979448927,4.0,43896
0.0,-0.003229137006098832,3.0,44127
0.0,-0.003002056967495948,0.0,44256
0.0,-0.0030571466649141838,0.0,44383
0.0,-0.003387663450400184,0.0,44516
0.0,-0.0026465572600224705,0.0,44648
0.0,-0.003459145999583068,3.0,44916
0.0,-0.0037766937494053314,2.0,45115
0.0,-0.003626673857891752,0.0,45239
0.0,-0.0032910304284425236,2.0,45438
0.0,-0.0037203288796107945,2.0,45643
0.0,-0.0030497039484163354,1.0,45815
0.0,-0.0030375103019839207,1.0,45984
0.0,-0.0028416505763239233,0.0,46121
0.0,-0.0035963682871725825,2.0,46301
0.0,-0.003701211966574192,0.0,46426
0.0,-0.0036617968246400595,3.0,46675
0.0,-0.004366316264722406,0.0,46798
0.0,-0.003490956326903299,1.0,46970
0.0,-0.0032967300713062286,0.0,47095
0.0,-0.0037285177442695824,0.0,47219
0.0,-0.004130764079258539,1.0,47391
0.0,-0.003891080196451726,4.0,47707
0.0,-0.004667120734377513,0.0,47833
0.0,-0.0037913464513592053,0.0,47955
0.0,-0.0035856931802185103,1.0,48129
0.0,-0.0031069264907366153,1.0,48286
0.0,-0.0033115438699465372,3.0,48518
0.0,-0.00389515273425667,3.0,48762
0.0,-0.0029494375808209908,0.0,48885
0.0,-0.003435848181376631,1.0,49063
0.0,-0.003553637926738093,0.0,49190
0.0,-0.0032286708228639327,0.0,49318
0.0,-0.0035099135923453355,2.0,49538
0.0,-0.0034375917204640437,3.0,49782
0.0,-0.0030399589575355566,3.0,50019
