total_steps,total_reward
173,1.0
300,0.0
455,1.0
596,0.0
803,2.0
961,1.0
1086,0.0
1291,2.0
1451,1.0
1585,0.0
1719,0.0
1870,1.0
1996,0.0
2208,2.0
2332,0.0
2469,0.0
2693,2.0
2819,0.0
3047,2.0
3252,2.0
3492,3.0
3653,1.0
3961,4.0
4097,0.0
4284,2.0
4418,0.0
4574,1.0
4805,2.0
4963,1.0
5091,0.0
5477,6.0
5610,0.0
5914,4.0
6045,0.0
6204,1.0
6424,2.0
6677,3.0
6885,2.0
7069,1.0
7277,2.0
7480,1.0
7748,3.0
7882,0.0
8082,2.0
8336,3.0
8510,1.0
8642,0.0
8772,0.0
8902,0.0
9171,4.0
9358,1.0
9633,3.0
9805,1.0
9935,0.0
10106,1.0
10249,0.0
10465,2.0
10637,1.0
10848,2.0
10987,0.0
11147,1.0
11314,1.0
11541,2.0
11806,3.0
11986,1.0
12142,0.0
12316,1.0
12446,0.0
12630,1.0
12784,1.0
12951,1.0
13178,2.0
13361,1.0
13518,1.0
13649,0.0
13918,3.0
14054,0.0
14221,1.0
14498,3.0
14738,2.0
15002,3.0
15137,0.0
15372,3.0
15509,0.0
15673,1.0
15974,4.0
16102,0.0
16253,0.0
16460,2.0
16592,0.0
16725,0.0
16856,0.0
16998,0.0
17206,2.0
17343,0.0
17520,1.0
17756,2.0
17883,0.0
18114,2.0
18363,3.0
18528,1.0
18799,3.0
19114,4.0
19250,0.0
19410,1.0
19620,2.0
19821,2.0
20032,2.0
20165,0.0
20305,0.0
20464,1.0
20595,0.0
20802,2.0
20937,0.0
21096,1.0
21226,0.0
21357,0.0
21580,2.0
21762,1.0
21917,0.0
22050,0.0
22187,0.0
22475,4.0
22712,3.0
22885,1.0
23087,2.0
23224,0.0
23438,2.0
23694,3.0
23936,3.0
24071,0.0
24214,0.0
24344,0.0
24483,0.0
24622,0.0
24802,1.0
24944,0.0
25130,1.0
25321,1.0
25500,1.0
25695,2.0
25838,0.0
25981,0.0
26113,0.0
26250,0.0
26515,3.0
26677,1.0
26851,1.0
26986,0.0
27143,1.0
27302,1.0
27510,2.0
27720,2.0
27857,0.0
28001,0.0
28228,2.0
28392,1.0
28596,2.0
28772,1.0
28918,0.0
29108,1.0
29327,2.0
29459,0.0
29599,0.0
29866,3.0
30027,1.0
30164,0.0
30293,0.0
30534,3.0
30726,2.0
30999,3.0
31185,1.0
31366,2.0
31618,3.0
32034,6.0
32180,0.0
32382,2.0
32551,1.0
32688,0.0
32923,2.0
33061,0.0
33188,0.0
33474,4.0
33604,0.0
33899,4.0
34058,1.0
34195,0.0
34349,1.0
34520,1.0
34680,1.0
34880,2.0
35119,3.0
35253,0.0
35375,0.0
35607,2.0
35738,0.0
35938,2.0
36099,1.0
36286,1.0
36681,6.0
36809,0.0
36993,1.0
37143,0.0
37305,1.0
37480,1.0
37737,3.0
37893,1.0
38067,1.0
38226,1.0
38432,1.0
38659,2.0
38821,1.0
39063,3.0
